index,linkPoster,name,role,time,content,content_img,linkPost,status
85,No link,Người tham gia ẩn danh,Thành viên,7 tháng 11 lúc 10:38,"Có bà nào cần ở ghép khummmm 
 trọ tui cách sư phạm 5-7p lái xe , sẵn 1 nữ , đầy đủ tiện ích , ai có nhu cầu thì . dưới bài nho",No picture,https://www.facebook.com/groups/ued.confessions/posts/c%C3%B3-b%C3%A0-n%C3%A0o-c%E1%BA%A7n-%E1%BB%9F-gh%C3%A9p-khummmm-tr%E1%BB%8D-tui-c%C3%A1ch-s%C6%B0-ph%E1%BA%A1m-5-7p-l%C3%A1i-xe-s%E1%BA%B5n-1-n%E1%BB%AF-%C4%91%E1%BA%A7y-%C4%91%E1%BB%A7-ti/2049882162194109/?__cft__[0]=AZVLghl-83VmMpTlzCZgJTMJZDHpCXsYBrgT2dsnnpE-G_Vp0Gel6gOkH5GdIlI-OWVlSTQovo0lhfqb2KML-sITb5sOOVtBz8wn-0IBHktV8F2qWyZYOsFTiqxnfNc_EUasu5ndjR3X29C-vUiBYtUhGDA4IrV1XrMOC1Mbz-s7CPVXnnmwBOIPBdkKL_fMvRwIfVpietz7WCI7DkIH-elLLXP6J7zC8FC6_MII-CowBA&__tn__=%2CO%2CP-R,Success
86,https://www.facebook.com/groups/1976889476160045/user/61559199532866/?__cft__[0]=AZUFFPdXmmrXuKjtZosjED1nvzsd_1S3ESlqDyKFdYDIcAkaK37XwswOtMDgPVc7zRWXeRXF-pbNVBh3N6_ltWhlOsHIDTv7SQcdUFUBHptD7IuXq0PVTJNzuvqPfVjsoSIjdBqNquY-QZcWLyEm5EPV75tEaVM9Ylmu56OuGneZVTYuQXlrlZiiUlMBetxSino&__tn__=-UC%2CP-R,Nguyễn Thị Minh Xinh,Thành viên,6 tháng 11 lúc 18:32,"Well,there was definitely some pressure when I was started.So what do you want me to talk about? you need an answer or a chance?
Chiều nay e giao tiếp với 1 người ngoại quốc,e có giao tiếp bằng câu này
Có 1 bạn đi qua bảo e dùng từ sai,ai bt e sai ở đâu chỉ e với ,e thắc mắc nãy h vẫn ko tìm ra",No picture,https://www.facebook.com/groups/ued.confessions/posts/wellthere-was-definitely-some-pressure-when-i-was-startedso-what-do-you-want-me-/2049384135577245/?__cft__[0]=AZUFFPdXmmrXuKjtZosjED1nvzsd_1S3ESlqDyKFdYDIcAkaK37XwswOtMDgPVc7zRWXeRXF-pbNVBh3N6_ltWhlOsHIDTv7SQcdUFUBHptD7IuXq0PVTJNzuvqPfVjsoSIjdBqNquY-QZcWLyEm5EPV75tEaVM9Ylmu56OuGneZVTYuQXlrlZiiUlMBetxSino&__tn__=%2CO%2CP-R,Success
87,No link,Người tham gia ẩn danh,Thành viên,6 tháng 11 lúc 15:08,Lỡ say một chị tên Diễm Quỳnh thì sao đây các bro ơi,No picture,https://www.facebook.com/groups/ued.confessions/posts/l%E1%BB%A1-say-m%E1%BB%99t-ch%E1%BB%8B-t%C3%AAn-di%E1%BB%85m-qu%E1%BB%B3nh-th%C3%AC-sao-%C4%91%C3%A2y-c%C3%A1c-bro-%C6%A1i/2049264462255879/?__cft__[0]=AZUQTGCyjT9CNAraM-1cBxDrbOd3cTy4qk0CHtuaezBDGiMutsZvo7oeWGcxOe1RyOTKZwW85yxyYqvSb2NKI_jcaUjQRpQVTP-QQTpDHyWfq398lI-XQyRFLcYXS44yDVGP7HD5gOp8CyAMv34d6U9ox2hwo_XpaCKRphy_XILP5RHLnPtBp0SrNXfGazhnl1Fqc3CKk2BnnxZaXmR_z4eKIxGxvRvDbe1g63OAfp6guA&__tn__=%2CO%2CP-R,Success
88,No link,Người tham gia ẩn danh,Thành viên,7 tháng 11 lúc 06:23,"Có anh chồng Đà Nẵng nào làm ra tiền nuôi vợ con mà vẫn giúp đỡ vợ việc nhà...
Ko càu nhàu vợ con ko các mẹ",No picture,https://www.facebook.com/groups/ued.confessions/posts/c%C3%B3-anh-ch%E1%BB%93ng-%C4%91%C3%A0-n%E1%BA%B5ng-n%C3%A0o-l%C3%A0m-ra-ti%E1%BB%81n-nu%C3%B4i-v%E1%BB%A3-con-m%C3%A0-v%E1%BA%ABn-gi%C3%BAp-%C4%91%E1%BB%A1-v%E1%BB%A3-vi%E1%BB%87c-nh%C3%A0ko-c%C3%A0/2049767188872273/?__cft__[0]=AZVZtlitx_vMW6eyv_MS0lLX2lMsQvIQHyh2wnjqRvoBFGUP-WNkl0RWcj4f_QWN1jtUMereMrnLHmE5NYHzKbOEh2nDn6u_zCXK8Q7hDUJx4e2VOcL-SaQ0Yt_p4HtPew2z8c7Xf6Q2jwo1EqQkC9MQmZDbIJDQV2aeuqVRM0VztlZj28CgC5dmw_amH7juml8LdVpsLkKJAcgSO0QuXQp395zHROI5GiJsUzZ5pE1vKw&__tn__=%2CO%2CP-R,Success
89,No link,Người tham gia ẩn danh,Thành viên,7 tháng 11 lúc 00:35,lỡ thích em học lớp 24SCD thì phải làm sao ạ,No picture,https://www.facebook.com/groups/ued.confessions/posts/l%E1%BB%A1-th%C3%ADch-em-h%E1%BB%8Dc-l%E1%BB%9Bp-24scd-th%C3%AC-ph%E1%BA%A3i-l%C3%A0m-sao-%E1%BA%A1/2049607945554864/?__cft__[0]=AZXzl-cAgwePLmRU_kWwTu5H64U1bYIhLI4KCT1DqPe0-sAM1zDcSNLsxr5JkAiQvUQpIs9iuyBXfgpP_zEOwQME0SLtFAqi9Zb7A7Ws5-cgZUpVoVnOXyHQBYj4-LXEa9Us_16_W3WSjPJCHj7GSTUq2EUJSZEj54_9aEYh5hW0tZG9JwXBs3WwDKzwTu9TL-qKB3CDpCmJeOjYf8A0qVXYCF-Fml7AC35lF0A9TPSQ9g&__tn__=%2CO%2CP-R,Success
90,No link,Người tham gia ẩn danh,Thành viên,6 tháng 11 lúc 20:58,mn ơii cho e hỏi toán Cô Thuỷ ra đề dễ kh ạ,No picture,https://www.facebook.com/groups/ued.confessions/posts/mn-%C6%A1ii-cho-e-h%E1%BB%8Fi-to%C3%A1n-c%C3%B4-thu%E1%BB%B7-ra-%C4%91%E1%BB%81-d%E1%BB%85-kh-%E1%BA%A1-/2049470422235283/?__cft__[0]=AZV5C0VQMD7EgiZjUZpyPu_EZ8LqYySRKaqqATEye7xCCLgdra8AV5euZ_5uHysms55WbSm3m7thFe1N_355-s8E-3ak1UucbbijVfaiSXaaKM-Ooxtrd32RyfYy3XjxaGPNbT2mdshfufBp0Qq1dyEJX1CwbJbzdju3XPM1rNig0jcLprUwZXP_Z89RTQnksAwHFgy8UBviBdqjsNfuyZXIhnAotN7TXWozGKJ20bfXzg&__tn__=%2CO%2CP-R,Success
91,No link,Người tham gia ẩn danh,Thành viên,6 tháng 11 lúc 21:50,"mng ơi nếu em xét sp anh nhưng lại có giải tỉnh địa thì em có cộng điểm học bạ được không ạ? hay cần giải anh, văn mới chấp nhận ạ?",No picture,https://www.facebook.com/groups/ued.confessions/posts/mng-%C6%A1i-n%E1%BA%BFu-em-x%C3%A9t-sp-anh-nh%C6%B0ng-l%E1%BA%A1i-c%C3%B3-gi%E1%BA%A3i-t%E1%BB%89nh-%C4%91%E1%BB%8Ba-th%C3%AC-em-c%C3%B3-c%E1%BB%99ng-%C4%91i%E1%BB%83m-h%E1%BB%8Dc-b%E1%BA%A1-%C4%91/2049503392231986/?__cft__[0]=AZXZPG9O7ABJDkwo41RGDxCqloB4xWBNxtgP3AsfpFq2fuaCByWcLNrtiH5fmIjyByqqNCOxdA4LlPoEg-K_wWazgOpysz9eeF4w_YGSEjb5LlOMqwCWQ-4VAvm63KA80XMWWBOyetPhxKhNmeXb6Pj5Cg7mb4MorZY1AoCVQQ1QBgMAEDrMldrDQRIQqO1Es4r9LhvwYcX0ZwMlvQyFCPY_13pgIP5_XL6j-aeLVfgaRw&__tn__=%2CO%2CP-R,Success
92,No link,Người tham gia ẩn danh,Thành viên,4 tháng 11 lúc 23:11,"Trời đúng là mt đại hc, gặp toàn những thứ gì k , lm bài nhóm thì vô trách nhiệm, nói tới là nhảy đỏng đỏng lên. Nhóm trưởng gì như qq họ, không có miếng trách nhiệm nào nói tới thì chối việc không lm , khôn hết phần người khác . Tới lúc có điểm cái dành hết công lao về mik , còn đòi đánh giá cho điểm thành viên khác như này như nọ , bảo nhóm trưởng phải đc điểm cao hơn . Không bt nhóm trưởng của mn như nào ,có ok k chứ nhóm trưởng nhóm em nó đã hãm rồi còn do duyên với cái hay bị tự ái .
Không bt MN có gặp tình trạng như này k ạ , hay là do em ăn ở k đc tốt nên bị zậy ạ mn ",No picture,https://www.facebook.com/groups/ued.confessions/posts/tr%E1%BB%9Di-%C4%91%C3%BAng-l%C3%A0-mt-%C4%91%E1%BA%A1i-hc-g%E1%BA%B7p-to%C3%A0n-nh%E1%BB%AFng-th%E1%BB%A9-g%C3%AC-k-lm-b%C3%A0i-nh%C3%B3m-th%C3%AC-v%C3%B4-tr%C3%A1ch-nhi%E1%BB%87m-n%C3%B3/2048092315706427/?__cft__[0]=AZW0KARW4kA10xj71BxE1kQM9I9dxNWhnyRFp8HeVrGpXZ9k1T76Ski-pZndBN1ESY2NuAvkKGDerteSxrMHUk5IZFchNtu-ztDrSaKkNvN8yT9myDnysoUkHkWzKBBIhnmOQGSwzWbO-oKClF2eV9X3nX75gYFpRwx3UR5HXLFJlV7e1dYRdUW44xvpJKoTJqM8DbS4xPloKA2GFJ63SBxK0fvefdmwuvbj4fxWnk0e7w&__tn__=%2CO%2CP-R,Success
93,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 17:29,"Em mất gốc đang muốn tìm chỗ học tiếng anh dạy lại từ đầu, chỗ mô uy tín xíu với học phí sv. A/c có học chỗ nào okela không ạ, gthiu em với...)))",No picture,https://www.facebook.com/groups/ued.confessions/posts/em-m%E1%BA%A5t-g%E1%BB%91c-%C4%91ang-mu%E1%BB%91n-t%C3%ACm-ch%E1%BB%97-h%E1%BB%8Dc-ti%E1%BA%BFng-anh-d%E1%BA%A1y-l%E1%BA%A1i-t%E1%BB%AB-%C4%91%E1%BA%A7u-ch%E1%BB%97-m%C3%B4-uy-t%C3%ADn-x%C3%ADu-v%E1%BB%9Bi-/2048624362319889/?__cft__[0]=AZW1Fbf26ZFtv0mpe4h8D_rOLLMUut8zRzTbaS5yZB6S1-1NZsxh3PNB58KGRnK3Vl0M88WGbBjLABsJnY5Mty9ieA1jM40PWdmmVjaigVNvSNHGvDioH6L6FOq-M9LMIAaUg_rONLjMCH_Gx3MZ8QYAx58tztrLPqIw4lrJxT_pd15RfjxVVfxFsrCvzLKrMVb-VcI0-VNplMKnaegGMaF56bY2OLREGn5kf7Jz2S3IYw&__tn__=%2CO%2CP-R,Success
94,No link,Người tham gia ẩn danh,Thành viên,6 tháng 11 lúc 08:41,"Anh sinh viên bách khoa mõm 5 năm ra trường còn mình 2 năm nữa ra, nhà mình thì khổ ảnh hay chở ra biển uống mía ko biết có tương lai k",No picture,https://www.facebook.com/groups/ued.confessions/posts/anh-sinh-vi%C3%AAn-b%C3%A1ch-khoa-m%C3%B5m-5-n%C4%83m-ra-tr%C6%B0%E1%BB%9Dng-c%C3%B2n-m%C3%ACnh-2-n%C4%83m-n%E1%BB%AFa-ra-nh%C3%A0-m%C3%ACnh-th%C3%AC-k/2049076755607983/?__cft__[0]=AZVacg6_9HORmKafmzdV2_1h9-50Lre_MRVTr1oTubqEDCUKwJ7mOG_jhFIwVC47o0ZaC0ml8S5W_cOSprKgpfKBVMPCsvzH4KeB4eUxqktJnaRvCjt5RnavfCQxpFa2cQVdK2fRFeuFXVU_jAjbPoNRMwgjH9OMjAIhg0_5-6Mk_rln8_oAwAjZmX6WDjG6uBySvIzVe2or2Czs1m8F_O0wLIcpaIEVEQEzZ8F5fWqCRw&__tn__=%2CO%2CP-R,Success
95,No link,Người tham gia ẩn danh,Thành viên,6 tháng 11 lúc 15:08,"Không liên quan lắm nhưng cho e hỏi nói lái của Hai Cẳng là gì ạ .
Con bạn e nói Căng hải
E Hăng Cải
Cãi nhau bữa giờ ạ",No picture,https://www.facebook.com/groups/ued.confessions/posts/kh%C3%B4ng-li%C3%AAn-quan-l%E1%BA%AFm-nh%C6%B0ng-cho-e-h%E1%BB%8Fi-n%C3%B3i-l%C3%A1i-c%E1%BB%A7a-hai-c%E1%BA%B3ng-l%C3%A0-g%C3%AC-%E1%BA%A1-con-b%E1%BA%A1n-e-n%C3%B3i-c/2049264658922526/?__cft__[0]=AZWscuiPSo9gPrv-ixdr7Nk0BUIFcYSuOpGERspX3hjvwC2DGvOsXaGugrAGtc_55DTu1mqSxQXeocZpkEJCBVYV6kuDoB-VE0eNC4tcHWWRRSea9Wksr_GLM7PFvE42mc17M1mAfaYrHs-6j8PGaWpkp8e5ndb2isxP0yPbR6RJMmMKJd--sCspF3mPgw8AV2WeQr2z_JEI_ZlhHZ3JSj5mFuVJoF_qLP4twbeuWcHK2g&__tn__=%2CO%2CP-R,Success
96,No link,Người tham gia ẩn danh,Thành viên,6 tháng 11 lúc 15:39,"Sáng nay từ nhà đa năng đến thư viện có ai thấy áo này không ạaa,cho em xin lại với .Áo em mới mua chỉ được 2 ngày thuii 
 .Tiếc quá ạ huhu ,mng ai thấy cmt cho em biết với nha ,em cảm ơn ạ","{0: 'https://scontent.fdad3-6.fna.fbcdn.net/v/t39.30808-6/465797736_855820620048759_7221432917538230478_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=m6bhNAIZyc4Q7kNvgH6XUp-&_nc_zt=23&_nc_ht=scontent.fdad3-6.fna&_nc_gid=AoWZ1BAqK4EtIBApCAal8iv&oh=00_AYA7JJHkx1y5pD6jYm96DoWXsIaq1lPrXCzE3d88Feuvnw&oe=673A12F7', 1: 'https://scontent.fdad3-6.fna.fbcdn.net/v/t39.30808-6/465790992_855820593382095_7289509177270219443_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=ot3O7uVtOhEQ7kNvgEeZBMp&_nc_zt=23&_nc_ht=scontent.fdad3-6.fna&_nc_gid=AoWZ1BAqK4EtIBApCAal8iv&oh=00_AYBtaAADV8PkBeLEhFZGhAcc10dbxo5LITZXc5Ziw8nP1Q&oe=673A3C5E'}",https://www.facebook.com/groups/ued.confessions/posts/s%C3%A1ng-nay-t%E1%BB%AB-nh%C3%A0-%C4%91a-n%C4%83ng-%C4%91%E1%BA%BFn-th%C6%B0-vi%E1%BB%87n-c%C3%B3-ai-th%E1%BA%A5y-%C3%A1o-n%C3%A0y-kh%C3%B4ng-%E1%BA%A1aacho-em-xin-l%E1%BA%A1i-v/2049285158920476/?__cft__[0]=AZVFv8TH5ey7RCQNqtud6vepRDlwbd_KJkkcIU5IdWdH6Bh8zrVLDbyADhwZ5qlOpLRbTe-_F9IWxEbPPWR-1OJrOVQAJOjBo3YjWGCtvXB9jiCCfsYdq34vuPh7LebP9iYPWYItilD9vwCcfIJ2TMY7UCBPgvDiaIBNzqPNvWi2QmM77QYK-pHrVjAPl6zFVFHrGLDP7HwHSGxsF77xfqqn99Yf-K06sVppkkFD5VEz6w&__tn__=%2CO%2CP-R,Success
97,No link,Người tham gia ẩn danh,Thành viên,6 tháng 11 lúc 15:08,Có ai như em hong ạ tiền mỗi ngày trong túi cứ rời em mà đi,No picture,https://www.facebook.com/groups/ued.confessions/posts/c%C3%B3-ai-nh%C6%B0-em-hong-%E1%BA%A1-ti%E1%BB%81n-m%E1%BB%97i-ng%C3%A0y-trong-t%C3%BAi-c%E1%BB%A9-r%E1%BB%9Di-em-m%C3%A0-%C4%91i/2049264582255867/?__cft__[0]=AZUplKgk-2uHzXX6bOcZEAqDsMl9N4UBI_V9PKOy6Jv5FMYNy4PXZuTY0XCXbqYbcYRIBGKBRRHXZtQalMyBwDY20E3z9uWZNrUx29_nzByy-kzEILw3DZBYnFx9M8y6J1E6OX-yT0idaAmAPlGk3CL26G7DPH56_pk_iK2egpULag3Fe0JDzxxa7ijKBhD_qkpfCwl9CUYo5LiYqVOcHBzXTIuyzJM4TpGsoOe_YsvqLg&__tn__=%2CO%2CP-R,Success
98,No link,Người tham gia ẩn danh,Thành viên,6 tháng 11 lúc 15:17,Tính thương tại bạn ni quên chìa khóa. Nm bạn để xe làm mình dắt k đc xe.,{0: 'https://scontent.fdad3-6.fna.fbcdn.net/v/t39.30808-6/465907341_2207500562982985_4591925052020685934_n.jpg?stp=dst-jpg_p526x296&_nc_cat=108&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=skIOgdqjRygQ7kNvgEXFXD7&_nc_zt=23&_nc_ht=scontent.fdad3-6.fna&_nc_gid=AGTQd8w-Xpz5qYvCR_0OVX-&oh=00_AYAyzZf699lI7xLdtpi7D0EMDRQWloysvg49ubVIVmMSVw&oe=673A2DA2'},https://www.facebook.com/groups/ued.confessions/posts/t%C3%ADnh-th%C6%B0%C6%A1ng-t%E1%BA%A1i-b%E1%BA%A1n-ni-qu%C3%AAn-ch%C3%ACa-kh%C3%B3a-nm-b%E1%BA%A1n-%C4%91%E1%BB%83-xe-l%C3%A0m-m%C3%ACnh-d%E1%BA%AFt-k-%C4%91c-xe/2049270748921917/?__cft__[0]=AZVCSByF_b5JLQjaDiaU3WsdEts7OwIRjYxuVdUvCdgnCy_AmW11FlfO00u9aTL_bKvzPBeJ7sJYJDl8BH16xyPk0coTnkCl3sDhhVXiqaS_fp_uaxw7PoZV8uZ94YERskqc6OuMp_EOC5psE8RL4pQLLnY_GKNE3GIfm0j1q2nAwUlmPs1Un4HkZMhjjDlZWPdICKN4rxoQ2AAVWHPws7XXJgTQf9YALppW8cNgrHQO2w&__tn__=%2CO%2CP-R,Success
99,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 15:15,trường mình có mấy anh cứ tẻn tẻn kiểu gì ấy nhỉ?,No picture,https://www.facebook.com/groups/ued.confessions/posts/tr%C6%B0%E1%BB%9Dng-m%C3%ACnh-c%C3%B3-m%E1%BA%A5y-anh-c%E1%BB%A9-t%E1%BA%BBn-t%E1%BA%BBn-ki%E1%BB%83u-g%C3%AC-%E1%BA%A5y-nh%E1%BB%89-/2048557822326543/?__cft__[0]=AZVUZxtgBBFGgzJ699xLKDbJP8wjNGCcQ9fgIfeCg-hldtojTA24VIIluwGl8RXxg_tynYOPLlBi9cUqfqs2PQPI9K-RA7xCOcvTyUpPCjyAB-K7NuCcgbciixIsFkpDnbgV33p90lxTloD9hDZvjk1LCb39PYKnLo8ZHw9vXqIpWYvWZbDHQTetFuPZCXUt0Wj9AvsTMqKNGh20ZtHBdYV5eerWbA_l3SW7LOvrU9csUg&__tn__=%2CO%2CP-R,Success
100,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 15:15,Crush ko addfr thì phải làm sao ạ,No picture,https://www.facebook.com/groups/ued.confessions/posts/crush-ko-addfr-th%C3%AC-ph%E1%BA%A3i-l%C3%A0m-sao-%E1%BA%A1/2048557938993198/?__cft__[0]=AZXTrwNCTOzSq-7buzg1XCkEAOwyTZ118yOXUNY1zjBzXUdESLfpZ-z2MTQx6_1hghE2GEeYmr7nJ4Nn2lsnHwpjGU_5iX9-kA_82ZeTXi8eDtsjYMZ0T_-VDN0BZOUjJz09fvcHMGclXDVbsD-dtCBvjBbEt99vxbgqBUw9rmn9mmWPRlrIJjiRJTkIHYLxRVVXOncjfBcksBT_x7jQkwdK1Si1bZJ4N_GKeMUF9_GtEw&__tn__=%2CO%2CP-R,Success
101,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 15:25,"Chợt nhận ra ""nhan sắc của cgai"" quyết định nhiều đến vc có btrai hay kh. Người ta cứ bảo nhan sắc không quan trọng nhưng thực ra tớ thấy nhan sắc chiếm đến 90% kết quả roi cậu ạ. Giống như việc c đi date mà bạn nam thấy c xinh, ăn nói hợp một tí là ngta đã muốn gặp cậu lần 2 rồi. Chứ còn nhan sắc không ưa nhìn thì tớ thề là chẳng còn lần nào nữa và ngay cả tin nhắn cũng nhạt dần đi. Ok là c nch kh hợp lắm nhưng nếu c xinh thì ngta sẽ rất muốn gặp c thêm nhiều lần nữa để tìm hiểu..",No picture,https://www.facebook.com/groups/ued.confessions/posts/ch%E1%BB%A3t-nh%E1%BA%ADn-ra-nhan-s%E1%BA%AFc-c%E1%BB%A7a-cgai-quy%E1%BA%BFt-%C4%91%E1%BB%8Bnh-nhi%E1%BB%81u-%C4%91%E1%BA%BFn-vc-c%C3%B3-btrai-hay-kh-ng%C6%B0%E1%BB%9Di-ta-/2048562422326083/?__cft__[0]=AZVCs-ZhioETVLvMfH9aPszZIBP1vwAKd9W1Lr9BLLXthQ4q4DBkNezwQj8UbXhokOIdiJRgF4eLzGwdpOtxGdB_7aA1LKeSGr8BvXxTmOUfN5mM5qlAIR2EWEESwGjoiSWg5gg38dVRFxHUoVkc0NjgyPLZQ_PZ_UodEvLLVME4nVcBATpEiWmrmTirNezYQ2Yv4FdTRb5XefIKHB3b_CrI0Vt2gByDgMoIZtS5QxIYSg&__tn__=%2CO%2CP-R,Success
102,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 17:19,"Chiều ni có bạn nữ mang hoodie đen quần trắng đứng ở cổng đập muỗi dễ thương xỉu
. Có ai biết info cho mình xin với nha",No picture,https://www.facebook.com/groups/ued.confessions/posts/chi%E1%BB%81u-ni-c%C3%B3-b%E1%BA%A1n-n%E1%BB%AF-mang-hoodie-%C4%91en-qu%E1%BA%A7n-tr%E1%BA%AFng-%C4%91%E1%BB%A9ng-%E1%BB%9F-c%E1%BB%95ng-%C4%91%E1%BA%ADp-mu%E1%BB%97i-d%E1%BB%85-th%C6%B0%C6%A1ng-x%E1%BB%89u/2048619275653731/?__cft__[0]=AZVTxeZi5zn0P_yLZ3LWG368qld-kz4OtBC1CU-NAs2k19Fm-mk-NindHLGqMQIKs3Cj95_aZDvNosyU0P4pEJdySKT5xo3TuKJz7CHn5_ILt5P3FffjS-R_Su8cfCoijygvqnOZsqZRKlXTUVbsoU0vJK9MVVcrP3w-w4DkKoG3wFdT6_HJaiirak4HZrqOXt21g0ruuwWeILTNGMrwWdyJ-Ou6Q3cp9xvIPrv-Yj5EXg&__tn__=%2CO%2CP-R,Success
103,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 01:39,Anh chị cho em hỏi là với các học phần này thì thầy cô nào dạy sẽ dễ thở cho bọn em vậy ạ,"{0: 'https://scontent.fdad3-6.fna.fbcdn.net/v/t39.30808-6/465429252_1022140313256096_353012688514597271_n.jpg?stp=dst-jpg_p526x296&_nc_cat=108&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=C7quL9h-0RwQ7kNvgEKu491&_nc_zt=23&_nc_ht=scontent.fdad3-6.fna&_nc_gid=AmduhLo2_grPU3jjSSOwrd_&oh=00_AYAUcHrK6MS8myYaNFg07mDsVlQr2Ey4VAeIg7IKURQ2qw&oe=673A359C', 1: 'https://static.xx.fbcdn.net/images/emoji.php/v9/tec/1/16/1f972.png'}",https://www.facebook.com/groups/ued.confessions/posts/anh-ch%E1%BB%8B-cho-em-h%E1%BB%8Fi-l%C3%A0-v%E1%BB%9Bi-c%C3%A1c-h%E1%BB%8Dc-ph%E1%BA%A7n-n%C3%A0y-th%C3%AC-th%E1%BA%A7y-c%C3%B4-n%C3%A0o-d%E1%BA%A1y-s%E1%BA%BD-d%E1%BB%85-th%E1%BB%9F-cho-b%E1%BB%8Dn/2048168115698847/?__cft__[0]=AZV8Ktnak9VETzwouIKahCI_WAk1fNvaTCjvNV9ysrNMpzYQfvNM0FbbbL8LRuBNuGD5C7534rbJnjmgsMRsdY4_qdvL5tX5KaABktt_IJH5m7AudOmu7G19MdKajY3j4FEYPrTpAx8Z-WnvPTD5xaBdIAIac1nzhOQQFzQyZeSkdlbXPgfuuRUQHwd2iL-StWg6hhCX9XzdT73trevaCXXVFmHzq45zxpmk3gb-M5qXAA&__tn__=%2CO%2CP-R,Success
104,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 16:23,"Bạn Việt Dũng 23SLD2 chảnh zậy, ib làm quen mà hông thèm trl",No picture,https://www.facebook.com/groups/ued.confessions/posts/b%E1%BA%A1n-vi%E1%BB%87t-d%C5%A9ng-23sld2-ch%E1%BA%A3nh-z%E1%BA%ADy-ib-l%C3%A0m-quen-m%C3%A0-h%C3%B4ng-th%C3%A8m-trl-/2048590925656566/?__cft__[0]=AZX1wuGNj_fXg_UDE3fU8nW-liSFoBKKtk7wvG1aaFGoppqModleSYEEvytuupJ7QAItVs9DZRnIUF2B8FfkS06m7mpH-63bBmBvRmZvSiqp9ndUFZ4uBMwDFX38q38VS2g0Woarkft864swAr4LTIv46aBQNl5E-6DWrwRBATNRyblfDyLTE_wo91fn10b9FSqW2uM7_4RKBmwsrjl1EptIZ3iqK9rAx8-y5Zm3gslwig&__tn__=%2CO%2CP-R,Success
105,No link,Người tham gia ẩn danh,Thành viên,5 tháng 11 lúc 15:15,"E chỉ thích ở 1 mình, từ chối rất nhiều lần nhưng bạn  năn nỉ, e thấy dai quá nên cho ở vì bạn bảo bạn xin ở tạm thôi. Tháng 11 này anh chị trả phòng quá trời mà ko thấy bạn có đi tìm, em sốt ruột quá nên đi tìm giúp bạn. E tìm đc 1 phòng rất oke, nhắn cho bạn thì bạn bảo ""M định chuyển ra hả""
 ko biết ai là đứa ở tạm luôn á mn
 đúng là ở hiền gặp phiền
 giờ mùng 4 rồi, các phòng oke cx hết, chắc em phải ở với nó đến Tết hoặc là nó đuổi em đi
 tính em nhát lắm nên nếu ai làm gì em thì em cx ko dám nói mà chọn cách rời đi",No picture,https://www.facebook.com/groups/ued.confessions/posts/e-ch%E1%BB%89-th%C3%ADch-%E1%BB%9F-1-m%C3%ACnh-t%E1%BB%AB-ch%E1%BB%91i-r%E1%BA%A5t-nhi%E1%BB%81u-l%E1%BA%A7n-nh%C6%B0ng-b%E1%BA%A1n-n%C4%83n-n%E1%BB%89-e-th%E1%BA%A5y-dai-qu%C3%A1-n%C3%AAn-c/2048558005659858/?__cft__[0]=AZWHD52HWljwTJa1seVgkTUACNc3f8yAlXNK7d353ODBjLSP-COWlyreV2EOxEzwKOgO6Wi9vfklVqObulg7k_u5uN2j1HewZUSwFJguHPNDewdjFDc4hPm6nLU6ZVv_-kaPR6Hg9oFb4tZ9yLcJdBBXvBb2yY0cqz9X4qNknVgq67FXmw4R0ED_7_2o2iKKgMRc1KSDabUpCEDNrTcr0D2OhQxXABshLcUnPOQ5rh-X5g&__tn__=%2CO%2CP-R,Success
